template_id,post_text,category,cta_type,link_included,image_upload_recommended,recommended_styles,scheduled_at,status,quality_note
T0001,AI 프로필 한 장 잘 뽑히면\n괜히 내일 아침부터 바꾸고 싶어짐\n밤이 그런 결심을 잘 만들지,image_recommended,none,no,yes,dreamy-wildflower|datecam-film|ulzzang-cam,2026-04-24 10:21,draft,
T0002,멋있게 남는 결과가 좋은지\n친구 반응 오는 결과가 좋은지\n\n둘 다 포기 못 하는 사람 많을 듯,soft_cta,soft,no,no,,2026-04-24 17:42,draft,
T0003,저장보다 공유가 먼저 나오는 결과는\n확실히 따로 있음\n\n내 기준엔 반응할 문장이 저절로 떠오르는 결과가 그렇더라,soft_cta,soft,no,no,,2026-04-24 21:54,draft,
T0004,나도 딱 그랬어\n하나만 해보고 자야지 했다가\n몇 장 더 돌리고 있었음 🌙\nhttps://www.styledrop.cloud/,direct_cta,direct,yes,no,,2026-04-25 12:38,draft,
T0005,권투 선수처럼 강한 톤과\n눈 오는 밤처럼 조용한 톤 중에\n내 얼굴이 어디서 더 살아날지 은근 궁금하지 않나,conversation,none,no,no,,2026-04-25 16:53,draft,
T0006,심심풀이처럼 시작했다가\n의외로 한두 장 더 보게 되는 서비스가 있잖아\n\n이번엔 딱 그 정도 밀도의 재미를 원했음,soft_cta,soft,no,no,,2026-04-25 22:14,draft,
T0007,라면머리 같은 카드가 좋은 이유는\n대충 어떤 느낌일지 알 것 같으면서도\n막상 내 얼굴 넣으면 전혀 다를 것 같아서임,soft_cta,soft,no,no,,2026-04-26 11:19,draft,
T0008,퇴근길에 내 사진 보다가\n아 오늘 너무 무난하게 살았나 싶으면\n다른 스타일로 한 번 바꿔보는 재미가 있어,soft_cta,soft,no,no,,2026-04-26 17:27,draft,
T0009,혼자만 재밌으면 금방 식는데\n누가 한 번 받아주면 갑자기 서비스 체감이 확 커지더라\n\n공유성 보는 이유가 딱 그거임,conversation,none,no,no,,2026-04-26 22:13,draft,
T0010,익숙한 셀카로 놀고 싶은지\n완전히 새로운 캐릭터가 되고 싶은지\n그 선을 고르는 재미가 있음\n\nhttps://www.styledrop.cloud,direct_cta,direct,yes,no,,2026-04-27 10:37,draft,
T0011,이 서비스는 결국\n예쁜 셀카를 만드는 것보다\n내 분위기를 꺼내는 쪽이 더 가까워,text_only,none,no,no,,2026-04-27 16:36,draft,
T0012,아까 테스트하다가\n내 얼굴이 생각보다 진지한 프로필처럼 나와서\n조금 당황했음\n프사 바꾸고 싶어질 정도였어,image_recommended,none,no,yes,datecam-film|ulzzang-cam|idol-photocard,2026-04-27 21:01,draft,
T0013,카드 하나가 세다는 건\n결과가 좋아서가 아니라 질문을 남겨서인 것 같음\n\n그 질문이 생기면 손이 자연스럽게 감,soft_cta,soft,no,no,,2026-04-28 12:01,draft,
T0014,예전엔 뭘 해주는지가 중요했고\n지금은 어떤 기분으로 쓰게 되는지가 더 중요해졌음\n\n가벼운 서비스일수록 특히,before_after_recommended,soft,no,yes,cinematic-horseback|bronze-statue-bench|club-flash,2026-04-28 16:48,draft,
T0015,나 혼자 만들었단 사실보다\n누군가가 써주고 웃었다는 사실이 더 오래 남더라\n그래서 계속 다듬게 됨,text_only,none,no,no,,2026-04-28 21:28,draft,
T0016,회사 끝나고 지친 얼굴로 찍은 사진도\n생각보다 분위기 있게 바뀌더라\n그게 좀 위로였어\nhttps://www.styledrop.cloud/,before_after_recommended,direct,yes,yes,club-flash|rainy-crosswalk|red-carpet-glam,2026-04-29 11:46,draft,
T0017,사람들이 오래 머무는 이유를 보면\n기능이 많아서가 아니라 생각보다 진입이 가벼워서더라\n\n복잡한 거 싫어하는 사람일수록 잘 맞을 수 있음,soft_cta,soft,no,no,,2026-04-29 17:19,draft,
T0018,예전엔 결과를 모으는 느낌이었고\n지금은 장면을 넘겨보는 느낌이 더 강함\n\n가볍게 즐기기엔 후자가 확실히 낫더라,before_after_recommended,soft,no,yes,red-carpet-glam|cinematic-horseback|bronze-statue-bench,2026-04-29 22:01,draft,
T0019,혼자 만든 서비스라서 그런지\n새벽 가까워질수록 반응이 더 신경 쓰여\n누가 조용히 해보고 갔을까 싶고,conversation,soft,no,no,,2026-04-30 11:38,draft,
T0020,이건 광고라기보다\n내가 만든 거 한번 봐달라는 말에 가깝다\n근데 결과는 꽤 괜찮게 뽑힘 👀\nhttps://www.styledrop.cloud/,direct_cta,direct,yes,yes,skydiving|idol-photocard|dreamy-wildflower,2026-04-30 18:36,draft,
T0021,단톡방에서 반응 오는 카드가 있고\n개인톡에서 더 웃긴 카드가 있더라\n\n공유 맥락까지 달라지는 게 재밌었음,soft_cta,none,no,no,,2026-04-30 21:21,draft,
