template_id,post_text,category,cta_type,link_included,image_upload_recommended,recommended_styles,scheduled_at,status,quality_note
second_001,요즘 AI 사진은\n잘 나와도 금방 잊히는 경우가 많더라\n\n그래서 이번엔 결과 한 장보다\n다음 장면이 궁금해지는 흐름을 먼저 만들었음,text_only,none,no,no,,2026-04-24 10:05,draft,
first_001,점심 먹다가\n내 사진 넣어봤는데\n생각보다 결과가 너무 괜찮아서 좀 놀람\n혼자 만든 서비스라 첫 반응이 더 궁금해,image_recommended,none,no,yes,dreamy-wildflower|datecam-film|idol-photocard,2026-04-24 12:11,draft,
second_002,처음엔 퀄만 좋으면 될 줄 알았는데\n막상 오래 보는 건 다른 데 있더라\n\n사람들은 완성컷보다\n내 얼굴이 어디까지 바뀌는지에 더 오래 머묾,before_after_recommended,none,no,yes,rainy-crosswalk|club-flash|red-carpet-glam,2026-04-24 14:22,draft,
first_100,오늘 점심시간에\n내가 만든 서비스 한 번만 구경해줘도 좋고\n마음에 드는 컷 하나 건지면 더 좋고\n나는 그걸로 꽤 오래 기분 좋을 듯\nhttps://www.styledrop.cloud/,direct_cta,direct,yes,yes,idol-photocard|red-carpet-glam|dreamy-wildflower,2026-04-24 17:14,draft,
second_003,비슷한 무드 사진 몇 장 보면\n어느 순간 다 같은 서비스처럼 느껴질 때 있지\n\n그래서 이번엔 예쁘다보다\n궁금하다는 반응이 먼저 나오게 잡아봤다,text_only,none,no,no,,2026-04-24 19:28,draft,
first_200,퇴근 후 나를 다시 보고 싶은 사람에게\n이건 꽤 괜찮은 작은 놀이일지도 몰라\n내가 직접 만든 거라 더 많이 궁금하고\nhttps://www.styledrop.cloud/,direct_cta,direct,yes,yes,idol-photocard|red-carpet-glam|dreamy-wildflower,2026-04-24 21:06,draft,
second_004,AI 이미지 서비스 만들면서 제일 많이 들은 말이\n“처음엔 재밌는데 금방 질린다”였음\n\n그 말 듣고\n계속 눌러보게 되는 구조를 더 오래 붙잡게 됐음,text_only,soft,no,no,,2026-04-25 10:41,draft,
first_002,이거 약간 웃김\n내 얼굴이 우주비행사로 바뀌었는데\n낯선데 또 묘하게 잘 어울리더라\n점심시간에 한 번쯤 눌러보게 되는 타입,soft_cta,soft,no,yes,datecam-film|dreamy-celebratory|coquette-ribbon,2026-04-25 12:04,draft,
second_005,솔직히 나는\n완벽하게 나온 사진보다\n살짝 예상 밖으로 나온 결과가 더 기억에 남더라\n\n이번에도 그 느낌을 꽤 살려봤음,text_only,none,no,no,,2026-04-25 14:52,draft,
first_101,퇴근길엔 이상하게\n오늘 내가 어떤 얼굴로 하루를 살았는지 돌아보게 되더라\n그래서 이런 서비스까지 만들게 됐어,text_only,none,no,no,,2026-04-25 17:01,draft,
second_006,요즘은 기능 많은 서비스보다\n들어가자마자 감 오는 서비스가 더 세더라\n\n설명 읽기 전에\n손 먼저 가는 카드들을 만들고 싶었음,text_only,none,no,no,,2026-04-25 19:45,draft,
first_201,이 시간에 이런 거 보면 좀 위험해\n별 생각 없다가도\n나도 해볼까가 머릿속에 오래 남거든,soft_cta,soft,no,yes,datecam-film|dreamy-celebratory|coquette-ribbon,2026-04-25 21:37,draft,
second_007,예전엔 AI 사진을\n보정 툴처럼만 생각했는데\n\n만들다 보니\n이건 가볍게 노는 콘텐츠에 더 가깝다는 걸 알겠더라,before_after_recommended,soft,no,yes,rainy-crosswalk|club-flash|red-carpet-glam,2026-04-26 10:13,draft,
first_003,혼자 만들고 있는 서비스에\n내 셀카 넣어보다가\n괜히 저장까지 해버렸어\n필터보다 카드 느낌이라 더 남더라,text_only,none,no,no,,2026-04-26 12:28,draft,
second_008,필터형 서비스가 금방 비슷해지는 이유는\n결국 보는 장면이 비슷해서인 것 같았음\n\n그래서 아예 장면 자체를 바꾸는 쪽으로 방향을 틀었다,text_only,none,no,no,,2026-04-26 14:14,draft,
first_102,회사 끝나고 집 가는 길에\n거울보다가 문득 든 생각\n나를 다른 시선으로 보는 건 의외로 위로가 되네,text_only,none,no,no,,2026-04-26 17:06,draft,
second_009,사람들이 오래 머무는 포인트는\n생각보다 화질이나 디테일만은 아니더라\n\n“이 장면에 내가 들어가면 어떨까”\n이 상상이 붙는 순간이 더 컸음,text_only,none,no,no,,2026-04-26 19:39,draft,
first_202,밤에는 유독\n남들 프사 하나에도 시선이 오래 가잖아\n그래서 나도 그런 무드를 만드는 걸 해봤어,text_only,none,no,no,,2026-04-26 21:56,draft,
second_010,비슷한 결과물에 피로한 사람들 보면\n새 필터보다 새 상황을 더 재밌어하더라\n\n그래서 이번엔 얼굴보다 맥락을 먼저 설계했음,text_only,none,no,no,,2026-04-27 10:26,draft,
first_004,방금 밥 먹고 멍때리다가\n내가 만든 기능 다시 돌려봤는데\n몽골 전사 버전이 제일 웃기게 잘 나왔음\n이런 건 친구한테 바로 보여주게 돼,text_only,none,no,no,,2026-04-27 12:08,draft,
