template_id,post_text,category,cta_type,link_included,image_upload_recommended,recommended_styles,scheduled_at,status,quality_note
T0001,"AI 프로필 한 장 예쁘게 나오면
괜히 내일 아침부터 바꾸고 싶어짐
밤이라 그런 결심을 잘 만들지",image_recommended,none,no,yes,dreamy-wildflower|datecam-film|ulzzang-cam,2026-04-24 10:21,draft,
T0002,"멋있게 남는 결과가 좋은지
친구 반응 오는 결과가 좋은지

둘 다 포기 못 하는 사람 많을 듯
이런 거 좋아하면 맞을 듯",soft_cta,soft,no,no,,2026-04-24 17:42,draft,
T0003,"저장보다 공유가 먼저 나오는 결과는
확실히 따로 있음

내 기준엔 반응할 문장이 저절로 떠오르는 결과가 그렇더라
한 번 구경해봐도 재밌을 듯",soft_cta,soft,no,no,,2026-04-24 21:54,draft,
T0004,"나도 딱 그랬어
하나만 해보고 자야지 했다가
몇 장 더 돌리고 있었음 🌙
https://www.styledrop.cloud/",direct_cta,direct,yes,no,,2026-04-25 12:38,draft,
T0005,"권투 선수처럼 강한 톤과
눈 오는 밤처럼 조용한 톤 중에
내 얼굴이 어디서 더 살아날지 꽤 궁금하지 않나?",conversation,none,no,no,,2026-04-25 16:53,draft,
T0006,"심심할 때 시작했다가
의외로 한두 장 더 보게 되는 서비스가 있잖아

이번엔 딱 그 정도 밀도의 재미를 원했음
이런 거 좋아하면 맞을 듯",soft_cta,soft,no,no,,2026-04-25 22:14,draft,
T0007,"왠지 라면머리 느낌의 카드가 좋은 이유는
대충 어떤 느낌일지 알 것 같으면서도
막상 내 얼굴 넣으면 전혀 다를 것 같아서임
해보면 나름 신기할걸",soft_cta,soft,no,no,,2026-04-26 11:19,draft,
T0008,"퇴근길 내 사진 보다가
아 오늘 너무 무난하게 살았나 싶으면
다른 스타일로 한 번 바꿔보는 재미가 있어
한 번 구경해봐도 재밌을 듯",soft_cta,soft,no,no,,2026-04-26 17:27,draft,
T0009,"혼자만 재밌으면 금방 식는데
누가 한 번 받아주면 갑자기 서비스 체감이 확 커지더라

공유성 보는 이유가 딱 그거임?",conversation,none,no,no,,2026-04-26 22:13,draft,
T0010,"익숙한 셀카로 놀고 싶은지
완전히 새로운 캐릭터가 되고 싶은지 나만 그런가 😂
그 선을 고르는 재미가 있음

https://www.styledrop.cloud",direct_cta,direct,yes,no,,2026-04-27 10:37,draft,
